Date,Price,Open,High,Low,Vol.,Change %
01-01-2024,83.238,83.24,83.243,83.15,,0.06%
02-01-2024,83.27,83.179,83.359,83.179,,0.04%
03-01-2024,83.282,83.279,83.348,83.244,,0.01%
04-01-2024,83.243,83.294,83.335,83.195,,-0.05%
05-01-2024,83.103,83.235,83.286,83.067,,-0.17%
08-01-2024,83.045,83.124,83.178,83.026,,-0.07%
09-01-2024,83.109,83.053,83.149,83.029,,0.08%
10-01-2024,83.023,83.113,83.185,82.959,,-0.10%
11-01-2024,83.063,83.004,83.121,82.93,,0.05%
12-01-2024,82.857,83.068,83.104,82.779,,-0.25%
15-01-2024,82.827,82.835,82.929,82.775,,-0.04%
16-01-2024,83.084,82.832,83.15,82.829,,0.31%
17-01-2024,83.182,83.085,83.217,83.035,,0.12%
18-01-2024,83.165,83.197,83.205,83.098,,-0.02%
19-01-2024,83.086,83.187,83.192,83.036,,-0.09%
22-01-2024,83.1,83.077,83.185,83.059,,0.02%
23-01-2024,83.15,83.096,83.188,83.061,,0.06%
24-01-2024,83.13,83.164,83.184,83.067,,-0.02%
25-01-2024,83.144,83.141,83.177,83.077,,0.02%
26-01-2024,83.115,83.17,83.173,83.079,,-0.03%
29-01-2024,83.134,83.149,83.173,83.118,,0.02%
30-01-2024,83.12,83.136,83.177,83.087,,-0.02%
31-01-2024,83.095,83.1,83.132,82.998,,-0.03%
01-02-2024,82.947,83.083,83.091,82.915,,-0.18%
02-02-2024,82.999,82.952,83.027,82.826,,0.06%
05-02-2024,83.036,83.011,83.095,82.956,,0.04%
06-02-2024,83.062,83.044,83.079,83.015,,0.03%
07-02-2024,82.977,83.07,83.091,82.934,,-0.10%
08-02-2024,82.978,82.981,83.021,82.893,,0.00%
09-02-2024,83,82.984,83.059,82.945,,0.03%
12-02-2024,82.97,83.025,83.057,82.951,,-0.04%
13-02-2024,83.098,83.008,83.121,82.963,,0.15%
14-02-2024,83.034,83.104,83.12,83.015,,-0.08%
15-02-2024,82.988,83.035,83.075,82.982,,-0.06%
16-02-2024,83.013,82.991,83.049,82.983,,0.03%
19-02-2024,83.026,82.987,83.061,82.949,,0.02%
20-02-2024,82.89,83.031,83.043,82.862,,-0.16%
21-02-2024,82.93,82.895,82.983,82.835,,0.05%
22-02-2024,82.837,82.933,82.965,82.812,,-0.11%
23-02-2024,82.859,82.845,82.965,82.845,,0.03%
26-02-2024,82.846,82.873,82.914,82.851,,-0.02%
27-02-2024,82.877,82.901,82.921,82.841,,0.04%
28-02-2024,82.9,82.924,82.967,82.863,,0.03%
29-02-2024,82.9,82.91,82.957,82.864,,0.00%
01-03-2024,82.841,82.926,82.933,82.836,,-0.07%
04-03-2024,82.911,82.845,82.935,82.83,,0.08%
05-03-2024,82.891,82.913,82.938,82.863,,-0.02%
06-03-2024,82.78,82.896,82.919,82.801,,-0.13%
07-03-2024,82.708,82.82,82.85,82.669,,-0.09%
08-03-2024,82.739,82.713,82.77,82.66,,0.04%
11-03-2024,82.72,82.754,82.782,82.645,,-0.02%
12-03-2024,82.786,82.739,82.839,82.72,,0.08%
13-03-2024,82.82,82.83,82.923,82.774,,0.04%
14-03-2024,82.915,82.827,82.952,82.803,,0.11%
15-03-2024,82.883,82.99,82.995,82.817,,-0.04%
18-03-2024,82.9,82.891,82.935,82.825,,0.02%
19-03-2024,83.007,82.935,83.063,82.899,,0.13%
20-03-2024,83.173,83.053,83.233,82.99,,0.20%
21-03-2024,83.174,83.117,83.235,83.034,,0.00%
22-03-2024,83.582,83.232,83.733,83.206,,0.49%
25-03-2024,83.405,83.465,83.548,83.384,,-0.21%
26-03-2024,83.309,83.415,83.441,83.254,,-0.12%
27-03-2024,83.294,83.365,83.48,83.291,,-0.02%
28-03-2024,83.352,83.373,83.424,83.31,,0.07%
29-03-2024,83.35,83.391,83.399,83.335,,0.00%
01-04-2024,83.36,83.343,83.408,83.31,,0.01%
02-04-2024,83.322,83.374,83.448,83.33,,-0.05%
03-04-2024,83.504,83.375,83.585,83.33,,0.22%
04-04-2024,83.34,83.478,83.513,83.35,,-0.20%
05-04-2024,83.293,83.417,83.471,83.241,,-0.06%
08-04-2024,83.27,83.344,83.352,83.225,,-0.03%
09-04-2024,83.182,83.271,83.291,83.166,,-0.11%
10-04-2024,83.389,83.227,83.426,83.147,,0.25%
11-04-2024,83.324,83.413,83.438,83.295,,-0.08%
12-04-2024,83.54,83.368,83.622,83.316,,0.26%
15-04-2024,83.484,83.481,83.544,83.413,,-0.07%
16-04-2024,83.637,83.534,83.7,83.469,,0.18%
17-04-2024,83.65,83.673,83.747,83.589,,0.02%
18-04-2024,83.53,83.59,83.605,83.487,,-0.14%
19-04-2024,83.358,83.548,83.721,83.362,,-0.21%
22-04-2024,83.36,83.423,83.457,83.306,,0.00%
23-04-2024,83.269,83.384,83.407,83.26,,-0.11%
24-04-2024,83.319,83.28,83.362,83.257,,0.06%
25-04-2024,83.31,83.338,83.402,83.255,,-0.01%
26-04-2024,83.4,83.268,83.422,83.267,,0.11%
29-04-2024,83.41,83.385,83.513,83.352,,0.01%
30-04-2024,83.45,83.459,83.537,83.397,,0.05%
01-05-2024,83.455,83.474,83.532,83.446,,0.01%
02-05-2024,83.435,83.43,83.503,83.401,,-0.02%
03-05-2024,83.376,83.42,83.482,83.308,,-0.07%
06-05-2024,83.48,83.391,83.545,83.39,,0.12%
07-05-2024,83.458,83.473,83.529,83.432,,-0.03%
08-05-2024,83.462,83.466,83.535,83.449,,0.00%
09-05-2024,83.441,83.476,83.527,83.432,,-0.03%
10-05-2024,83.541,83.453,83.56,83.446,,0.12%
13-05-2024,83.46,83.526,83.566,83.465,,-0.10%
14-05-2024,83.482,83.529,83.55,83.472,,0.03%
15-05-2024,83.411,83.503,83.529,83.409,,-0.08%
16-05-2024,83.45,83.42,83.524,83.404,,0.05%
